Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
COMPARATIVE MEDICINE,COMPARATIVE MED,AMER ASSOC LABORATORY ANIMAL SCIENCE,1532-0820,1532-0820,ZOOLOGY,SCIE,"1,541",1.3,Q2,0.57,0%
INVERTEBRATE BIOLOGY,INVERTEBR BIOL,WILEY,1077-8306,1744-7410,ZOOLOGY,SCIE,847,1.3,Q2,0.57,18.89%
Behavioural Processes,BEHAV PROCESS,ELSEVIER,0376-6357,1872-8308,ZOOLOGY,SCIE,"5,209",1.3,Q2,0.56,22.03%
ETHOLOGY,ETHOLOGY,WILEY,0179-1613,1439-0310,ZOOLOGY,SCIE,"4,227",1.3,Q2,0.56,32.64%
FOLIA PRIMATOLOGICA,FOLIA PRIMATOL,BRILL,0015-5713,1421-9980,ZOOLOGY,SCIE,"1,392",1.2,Q2,0.93,12%
ZOOLOGISCHER ANZEIGER,ZOOL ANZ,ELSEVIER GMBH,0044-5231,0044-5231,ZOOLOGY,SCIE,"2,341",1.2,Q2,0.83,14.34%
NEMATOLOGY,NEMATOLOGY,BRILL,1388-5545,1388-5545,ZOOLOGY,SCIE,"2,244",1.2,Q2,0.78,7.58%
Journal of the American Association for Laboratory Animal Science,J AM ASSOC LAB ANIM,AMER ASSOC LABORATORY ANIMAL SCIENCE,1559-6109,1559-6109,ZOOLOGY,SCIE,"2,225",1.2,Q2,0.76,0%
ZOO BIOLOGY,ZOO BIOL,WILEY,0733-3188,1098-2361,ZOOLOGY,SCIE,"2,745",1.2,Q2,0.73,24.37%
Asian Herpetological Research,ASIAN HERPETOL RES,SCIENCE PRESS,2095-0357,2095-0357,ZOOLOGY,SCIE,407,1.2,Q2,0.7,0%
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,J EXP PSYCHOL-ANIM L,AMER PSYCHOLOGICAL ASSOC,2329-8456,2329-8464,ZOOLOGY,SCIE,"1,736",1.2,Q2,0.58,4.85%
ACTA PARASITOLOGICA,ACTA PARASITOL,SPRINGER INT PUBL AG,1230-2821,1896-1851,ZOOLOGY,SCIE,"1,830",1.2,Q2,0.57,11.11%
JOURNAL OF CRUSTACEAN BIOLOGY,J CRUSTACEAN BIOL,OXFORD UNIV PRESS,0278-0372,1937-240X,ZOOLOGY,SCIE,"2,545",1.2,Q2,0.56,9.52%
RAFFLES BULLETIN OF ZOOLOGY,RAFFLES B ZOOL,"NATL UNIV SINGAPOIRE, FAC SCIENCE,LEE KONG CHIAN NATURAL HISTORY MUSEUM",0217-2445,2345-7600,ZOOLOGY,SCIE,"1,578",1.2,Q2,0.53,0%
BEHAVIOUR,BEHAVIOUR,BRILL,0005-7959,1568-539X,ZOOLOGY,SCIE,"4,539",1.2,Q2,0.52,13.79%
