Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
APPLIED CATALYSIS A-GENERAL,APPL CATAL A-GEN,ELSEVIER,0926-860X,1873-3875,ENVIRONMENTAL SCIENCES,SCIE,"35,623",4.7,Q2,0.83,14.98%
ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,ENVIRON DEV SUSTAIN,SPRINGER,1387-585X,1573-2975,ENVIRONMENTAL SCIENCES,SCIE,"16,812",4.7,Q2,0.8,10.22%
NanoImpact,NANOIMPACT,ELSEVIER,2452-0748,2452-0748,ENVIRONMENTAL SCIENCES,SCIE,"1,869",4.7,Q2,0.78,40.10%
WATER RESOURCES RESEARCH,WATER RESOUR RES,AMER GEOPHYSICAL UNION,0043-1397,1944-7973,ENVIRONMENTAL SCIENCES,SCIE,"64,158",4.6,Q2,1.22,36%
Journal of Ecohydraulics,J ECOHYDRAULICS,TAYLOR & FRANCIS LTD,2470-5357,2470-5365,ENVIRONMENTAL SCIENCES,ESCI,279,4.6,Q2,1.18,17.78%
Ecological Processes,ECOL PROCESS,SPRINGER,N/A,2192-1709,ENVIRONMENTAL SCIENCES,SCIE,"2,178",4.6,Q2,0.95,100%
Global Sustainability,GLOB SUSTAIN,CAMBRIDGE UNIV PRESS,N/A,2059-4798,ENVIRONMENTAL SCIENCES,ESCI,827,4.6,Q2,0.82,100%
Sustainable Environment Research,SUSTAIN ENVIRON RES,BMC,2468-2039,2468-2039,ENVIRONMENTAL SCIENCES,SCIE,"1,782",4.6,Q2,0.75,100%
ENVIRONMENTAL AND EXPERIMENTAL BOTANY,ENVIRON EXP BOT,PERGAMON-ELSEVIER SCIENCE LTD,0098-8472,1873-7307,ENVIRONMENTAL SCIENCES,SCIE,"18,324",4.5,Q2,1.17,12.42%
ENVIRONMENTAL TOXICOLOGY,ENVIRON TOXICOL,WILEY,1520-4081,1522-7278,ENVIRONMENTAL SCIENCES,SCIE,"7,444",4.4,Q2,1.07,3.51%
ECOLOGICAL APPLICATIONS,ECOL APPL,WILEY,1051-0761,1939-5582,ENVIRONMENTAL SCIENCES,SCIE,"22,067",4.3,Q2,1.12,36.54%
GeoHealth,GEOHEALTH,AMER GEOPHYSICAL UNION,2471-1403,2471-1403,ENVIRONMENTAL SCIENCES,SCIE,"1,436",4.3,Q2,1.01,78.33%
Environmental Science-Processes & Impacts,ENVIRON SCI-PROC IMP,ROYAL SOC CHEMISTRY,2050-7887,2050-7895,ENVIRONMENTAL SCIENCES,SCIE,"7,450",4.3,Q2,0.83,27.29%
Regional Sustainability,REG SUSTAIN,KEAI PUBLISHING LTD,2097-0129,2666-660X,ENVIRONMENTAL SCIENCES,ESCI,349,4.3,Q2,0.83,97.85%
ENVIRONMENTAL REVIEWS,ENVIRON REV,CANADIAN SCIENCE PUBLISHING,1208-6053,1181-8700,ENVIRONMENTAL SCIENCES,SCIE,"3,336",4.3,Q2,0.38,29.46%
Environmental Toxicology and Pharmacology,ENVIRON TOXICOL PHAR,ELSEVIER,1382-6689,1872-7077,ENVIRONMENTAL SCIENCES,SCIE,"9,805",4.2,Q2,1.05,17.48%
ATMOSPHERIC ENVIRONMENT,ATMOS ENVIRON,PERGAMON-ELSEVIER SCIENCE LTD,1352-2310,1873-2844,ENVIRONMENTAL SCIENCES,SCIE,"56,403",4.2,Q2,0.97,28.95%
Remote Sensing,REMOTE SENS-BASEL,MDPI,N/A,2072-4292,ENVIRONMENTAL SCIENCES,SCIE,"128,838",4.2,Q2,0.97,99.60%
Ecosystem Health and Sustainability,ECOSYST HEALTH SUST,AMER ASSOC ADVANCEMENT SCIENCE,2096-4129,2332-8878,ENVIRONMENTAL SCIENCES,SCIE,"1,140",4.2,Q2,0.9,99.17%
Clean Technologies and Environmental Policy,CLEAN TECHNOL ENVIR,SPRINGER,1618-954X,1618-9558,ENVIRONMENTAL SCIENCES,SCIE,"6,836",4.2,Q2,0.59,13.76%
Journal of Exposure Science and Environmental Epidemiology,J EXPO SCI ENV EPID,SPRINGERNATURE,1559-0631,1559-064X,ENVIRONMENTAL SCIENCES,SCIE,"5,277",4.1,Q2,1.03,35.37%
INTERNATIONAL BIODETERIORATION & BIODEGRADATION,INT BIODETER BIODEGR,ELSEVIER SCI LTD,0964-8305,1879-0208,ENVIRONMENTAL SCIENCES,SCIE,"12,510",4.1,Q2,0.91,14.50%
Food and Environmental Virology,FOOD ENVIRON VIROL,SPRINGER,1867-0334,1867-0342,ENVIRONMENTAL SCIENCES,SCIE,"1,339",4.1,Q2,0.68,29.91%
Climate Services,CLIM SERV,ELSEVIER,2405-8807,2405-8807,ENVIRONMENTAL SCIENCES,SCIE,"1,216",4,Q2,0.8,97.06%
Clean Technologies,CLEAN TECHNOL-BASEL,MDPI,N/A,2571-8797,ENVIRONMENTAL SCIENCES,ESCI,766,4,Q2,0.49,98.97%
STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,STOCH ENV RES RISK A,SPRINGER,1436-3240,1436-3259,ENVIRONMENTAL SCIENCES,SCIE,"6,446",3.9,Q2,1.07,15.84%
JOURNAL OF AEROSOL SCIENCE,J AEROSOL SCI,ELSEVIER SCI LTD,0021-8502,1879-1964,ENVIRONMENTAL SCIENCES,SCIE,"7,949",3.9,Q2,0.91,39.49%
BIOGEOCHEMISTRY,BIOGEOCHEMISTRY,SPRINGER,0168-2563,1573-515X,ENVIRONMENTAL SCIENCES,SCIE,"11,688",3.9,Q2,0.89,33.04%
Toxics,TOXICS,MDPI,N/A,2305-6304,ENVIRONMENTAL SCIENCES,SCIE,"7,235",3.9,Q2,0.84,99.86%
Atmospheric Pollution Research,ATMOS POLLUT RES,TURKISH NATL COMMITTEE AIR POLLUTION RES & CONTROL-TUNCAP,1309-1042,1309-1042,ENVIRONMENTAL SCIENCES,SCIE,"6,869",3.9,Q2,0.82,19.42%
Energy Ecology and Environment,ENERGY ECOL ENVIRON,SPRINGERNATURE,2363-7692,2363-8338,ENVIRONMENTAL SCIENCES,ESCI,"1,093",3.9,Q2,0.8,16.67%
ECOLOGICAL ENGINEERING,ECOL ENG,ELSEVIER,0925-8574,1872-6992,ENVIRONMENTAL SCIENCES,SCIE,"21,442",3.9,Q2,0.75,21.24%
City and Environment Interactions,CITY ENVIRON INTERAC,ELSEVIER,2590-2520,2590-2520,ENVIRONMENTAL SCIENCES,ESCI,338,3.9,Q2,0.73,95.89%
Carbon Balance and Management,CARBON BAL MANAGE,BMC,1750-0680,1750-0680,ENVIRONMENTAL SCIENCES,SCIE,"1,109",3.9,Q2,0.65,100%
Atmospheric Environment-X,ATMOS ENVIRON-X,ELSEVIER SCI LTD,N/A,2590-1621,ENVIRONMENTAL SCIENCES,ESCI,737,3.8,Q2,0.84,93.02%
Geoenvironmental Disasters,GEOENVIRONMENTAL DIS,SPRINGERNATURE,N/A,2197-8670,ENVIRONMENTAL SCIENCES,ESCI,937,3.8,Q2,0.82,100%
Remote Sensing Applications-Society and Environment,REMOTE SENS APPL,ELSEVIER,2352-9385,2352-9385,ENVIRONMENTAL SCIENCES,ESCI,"3,763",3.8,Q2,0.82,21.70%
Utilities Policy,UTIL POLICY,ELSEVIER SCI LTD,0957-1787,1878-4356,ENVIRONMENTAL SCIENCES,SCIE,"3,308",3.8,Q2,0.7,23.63%
WATER AIR AND SOIL POLLUTION,WATER AIR SOIL POLL,SPRINGER INT PUBL AG,0049-6979,1573-2932,ENVIRONMENTAL SCIENCES,SCIE,"21,658",3.8,Q2,0.57,8.85%
Journal of Geophysical Research-Biogeosciences,J GEOPHYS RES-BIOGEO,AMER GEOPHYSICAL UNION,2169-8953,2169-8961,ENVIRONMENTAL SCIENCES,SCIE,"12,661",3.7,Q2,0.82,31.35%
