Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
Current Research in Environmental Sustainability,CURR RES ENVIRON SUS,ELSEVIER,2666-0490,2666-0490,ENVIRONMENTAL SCIENCES,ESCI,783,3.7,Q2,0.81,98.95%
Egyptian Journal of Remote Sensing and Space Sciences,EGYPT J REMOTE SENS,ELSEVIER,1110-9823,2090-2476,ENVIRONMENTAL SCIENCES,SCIE,"2,347",3.7,Q2,0.81,95.68%
ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,ARCH ENVIRON CON TOX,SPRINGER,0090-4341,1432-0703,ENVIRONMENTAL SCIENCES,SCIE,"7,277",3.7,Q2,0.73,12.90%
Cleaner and Responsible Consumption,CLEAN RESPONS CONSUM,ELSEVIER,2666-7843,2666-7843,ENVIRONMENTAL SCIENCES,ESCI,416,3.7,Q2,0.63,93.38%
WASTE MANAGEMENT & RESEARCH,WASTE MANAGE RES,SAGE PUBLICATIONS LTD,0734-242X,1096-3669,ENVIRONMENTAL SCIENCES,SCIE,"7,395",3.7,Q2,0.45,22.78%
LAND DEGRADATION & DEVELOPMENT,LAND DEGRAD DEV,WILEY,1085-3278,1099-145X,ENVIRONMENTAL SCIENCES,SCIE,"12,075",3.6,Q2,0.84,8.25%
ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,ENVIRON TOXICOL CHEM,WILEY,0730-7268,1552-8618,ENVIRONMENTAL SCIENCES,SCIE,"20,595",3.6,Q2,0.78,32.56%
Environmental Pollutants and Bioavailability,ENV POLLUT BIOAVAIL,TAYLOR & FRANCIS LTD,2639-5932,2639-5940,ENVIRONMENTAL SCIENCES,SCIE,557,3.6,Q2,0.63,98.63%
Environmental Microbiology Reports,ENV MICROBIOL REP,WILEY,1758-2229,1758-2229,ENVIRONMENTAL SCIENCES,SCIE,"4,275",3.6,Q2,0.58,45.02%
Resources-Basel,RESOURCES-BASEL,MDPI,N/A,2079-9276,ENVIRONMENTAL SCIENCES,ESCI,"3,353",3.6,Q2,0.56,99.74%
Waste Disposal & Sustainable Energy,WASTE DISPOS SUST EN,SPRINGERNATURE,2524-7980,2524-7891,ENVIRONMENTAL SCIENCES,ESCI,546,3.6,Q2,0.45,12.15%
Ecosystems and People,ECOSYST PEOPLE,TAYLOR & FRANCIS LTD,N/A,2639-5916,ENVIRONMENTAL SCIENCES,ESCI,709,3.5,Q2,0.97,98.53%
JOURNAL OF CONTAMINANT HYDROLOGY,J CONTAM HYDROL,ELSEVIER,0169-7722,1873-6009,ENVIRONMENTAL SCIENCES,SCIE,"5,900",3.5,Q2,0.87,25.78%
International Journal of Sediment Research,INT J SEDIMENT RES,KEAI PUBLISHING LTD,1001-6279,1001-6279,ENVIRONMENTAL SCIENCES,SCIE,"2,095",3.5,Q2,0.85,4.27%
NATURAL RESOURCES FORUM,NAT RESOUR FORUM,WILEY,0165-0203,1477-8947,ENVIRONMENTAL SCIENCES,SCIE,"1,370",3.5,Q2,0.75,14.10%
Environmental Science-Water Research & Technology,ENVIRON SCI-WAT RES,ROYAL SOC CHEMISTRY,2053-1400,2053-1419,ENVIRONMENTAL SCIENCES,SCIE,"6,309",3.5,Q2,0.68,15.61%
Environments,ENVIRONMENTS,MDPI,N/A,2076-3298,ENVIRONMENTAL SCIENCES,ESCI,"2,916",3.5,Q2,0.6,99.01%
Air Soil and Water Research,AIR SOIL WATER RES,SAGE PUBLICATIONS LTD,1178-6221,1178-6221,ENVIRONMENTAL SCIENCES,ESCI,569,3.5,Q2,0.59,94.68%
Environmental Science-Advances,ENVIRON SCI-ADV,ROYAL SOC CHEMISTRY,N/A,2754-7000,ENVIRONMENTAL SCIENCES,ESCI,365,3.5,Q2,0.54,99.04%
Journal of Soil Science and Plant Nutrition,J SOIL SCI PLANT NUT,SPRINGER INT PUBL AG,0718-9508,0718-9516,ENVIRONMENTAL SCIENCES,SCIE,"6,339",3.4,Q2,0.83,9.82%
Regional Environmental Change,REG ENVIRON CHANGE,SPRINGER HEIDELBERG,1436-3798,1436-378X,ENVIRONMENTAL SCIENCES,SCIE,"7,560",3.4,Q2,0.75,45.61%
Chinese Geographical Science,CHINESE GEOGR SCI,SPRINGER,1002-0063,1993-064X,ENVIRONMENTAL SCIENCES,SCIE,"2,912",3.4,Q2,0.64,93.45%
INTERNATIONAL JOURNAL OF PHYTOREMEDIATION,INT J PHYTOREMEDIAT,TAYLOR & FRANCIS INC,1522-6514,1549-7879,ENVIRONMENTAL SCIENCES,SCIE,"5,629",3.4,Q2,0.62,1.51%
Environmental Evidence,ENVIRON EVID,BMC,N/A,2047-2382,ENVIRONMENTAL SCIENCES,SCIE,"1,395",3.4,Q2,0.53,100%
Anthropocene,ANTHROPOCENE,ELSEVIER SCI LTD,2213-3054,2213-3054,ENVIRONMENTAL SCIENCES,SCIE,"1,312",3.3,Q2,0.86,33.91%
Environmental Epidemiology,ENVIRON EPIDEMIOL,LIPPINCOTT WILLIAMS & WILKINS,N/A,2474-7882,ENVIRONMENTAL SCIENCES,ESCI,849,3.3,Q2,0.78,96.53%
Geocarto International,GEOCARTO INT,TAYLOR & FRANCIS LTD,1010-6049,1752-0762,ENVIRONMENTAL SCIENCES,SCIE,"6,094",3.3,Q2,0.74,21.60%
Sustainable Futures,SUSTAIN FUTURES,ELSEVIER,2666-1888,2666-1888,ENVIRONMENTAL SCIENCES,ESCI,407,3.3,Q2,0.69,99.02%
Sustainability,SUSTAINABILITY-BASEL,MDPI,N/A,2071-1050,ENVIRONMENTAL SCIENCES,SCIE,"229,213",3.3,Q2,0.68,99.63%
Frontiers in Environmental Science,FRONT ENV SCI-SWITZ,FRONTIERS MEDIA SA,N/A,2296-665X,ENVIRONMENTAL SCIENCES,SCIE,"17,300",3.3,Q2,0.67,99.82%
Frontiers in Climate,FRONT CLIM,FRONTIERS MEDIA SA,N/A,2624-9553,ENVIRONMENTAL SCIENCES,ESCI,"1,820",3.3,Q2,0.62,99.24%
ENVIRONMENTAL GEOCHEMISTRY AND HEALTH,ENVIRON GEOCHEM HLTH,SPRINGER,0269-4042,1573-2983,ENVIRONMENTAL SCIENCES,SCIE,"9,097",3.2,Q2,0.78,11.57%
GLOBAL JOURNAL OF ENVIRONMENTAL SCIENCE AND MANAGEMENT-GJESM,GLOB J ENVIRON SCI M,Professor J. Nouri,2383-3572,2383-3866,ENVIRONMENTAL SCIENCES,ESCI,997,3.1,Q2,0.65,0%
BioEnergy Research,BIOENERG RES,SPRINGER,1939-1234,1939-1242,ENVIRONMENTAL SCIENCES,SCIE,"3,844",3.1,Q2,0.53,10.68%
ENVIRONMENTAL AND ECOLOGICAL STATISTICS,ENVIRON ECOL STAT,SPRINGER,1352-8505,1573-3009,ENVIRONMENTAL SCIENCES,SCIE,"1,136",3,Q2,1.18,23.08%
MARINE ENVIRONMENTAL RESEARCH,MAR ENVIRON RES,ELSEVIER SCI LTD,0141-1136,1879-0291,ENVIRONMENTAL SCIENCES,SCIE,"9,277",3,Q2,0.88,26.04%
HUMAN AND ECOLOGICAL RISK ASSESSMENT,HUM ECOL RISK ASSESS,TAYLOR & FRANCIS INC,1080-7039,1549-7860,ENVIRONMENTAL SCIENCES,SCIE,"4,861",3,Q2,0.83,2.70%
Microbial Risk Analysis,MICROB RISK ANAL,ELSEVIER,2352-3522,2352-3530,ENVIRONMENTAL SCIENCES,SCIE,428,3,Q2,0.75,30.77%
INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,INT J BIOMETEOROL,SPRINGER,0020-7128,1432-1254,ENVIRONMENTAL SCIENCES,SCIE,"9,281",3,Q2,0.74,20.77%
Journal of Flood Risk Management,J FLOOD RISK MANAG,WILEY,1753-318X,1753-318X,ENVIRONMENTAL SCIENCES,SCIE,"2,590",3,Q2,0.74,78.02%
BIODIVERSITY AND CONSERVATION,BIODIVERS CONSERV,SPRINGER,0960-3115,1572-9710,ENVIRONMENTAL SCIENCES,SCIE,"13,592",3,Q2,0.71,41.36%
Water,WATER-SUI,MDPI,N/A,2073-4441,ENVIRONMENTAL SCIENCES,SCIE,"62,231",3,Q2,0.67,99.53%
Integrated Environmental Assessment and Management,INTEGR ENVIRON ASSES,WILEY,1551-3777,1551-3793,ENVIRONMENTAL SCIENCES,SCIE,"3,933",3,Q2,0.62,35.82%
JOURNAL OF ATMOSPHERIC CHEMISTRY,J ATMOS CHEM,SPRINGER,0167-7764,1573-0662,ENVIRONMENTAL SCIENCES,SCIE,"1,560",3,Q2,0.56,14.63%
BIOMEDICAL AND ENVIRONMENTAL SCIENCES,BIOMED ENVIRON SCI,CHINESE CENTER DISEASE CONTROL & PREVENTION,0895-3988,2214-0190,ENVIRONMENTAL SCIENCES,SCIE,"2,907",3,Q2,0.53,0%
International Journal of Environmental Science and Technology,INT J ENVIRON SCI TE,SPRINGER,1735-1472,1735-2630,ENVIRONMENTAL SCIENCES,SCIE,"14,899",3,Q2,0.52,7.07%
Environmental Engineering Research,ENVIRON ENG RES,KOREAN SOC ENVIRONMENTAL ENGINEERS - KSEE,1226-1025,2005-968X,ENVIRONMENTAL SCIENCES,SCIE,"2,265",3,Q2,0.47,97.80%
Journal of Environmental Health Science and Engineering,J ENVIRON HEALTH SCI,SPRINGER,N/A,2052-336X,ENVIRONMENTAL SCIENCES,SCIE,"3,154",3,Q2,0.42,10%
REVIEWS ON ENVIRONMENTAL HEALTH,REV ENVIRON HEALTH,WALTER DE GRUYTER GMBH,0048-7554,2191-0308,ENVIRONMENTAL SCIENCES,SCIE,"2,352",3,Q2,0.4,17.48%
Environmental Sustainability,ENVIRON SUSTAIN,SPRINGERNATURE,N/A,2523-8922,ENVIRONMENTAL SCIENCES,ESCI,546,3,Q2,0.27,10.56%
Air Quality Atmosphere and Health,AIR QUAL ATMOS HLTH,SPRINGER,1873-9318,1873-9326,ENVIRONMENTAL SCIENCES,SCIE,"3,794",2.9,Q3,0.73,19.18%
ENVIRONMENTAL MONITORING AND ASSESSMENT,ENVIRON MONIT ASSESS,SPRINGER,0167-6369,1573-2959,ENVIRONMENTAL SCIENCES,SCIE,"31,982",2.9,Q3,0.57,9.75%
AEROSOL SCIENCE AND TECHNOLOGY,AEROSOL SCI TECH,TAYLOR & FRANCIS INC,0278-6826,1521-7388,ENVIRONMENTAL SCIENCES,SCIE,"7,068",2.8,Q3,0.71,29.34%
JOURNAL OF SOILS AND SEDIMENTS,J SOIL SEDIMENT,SPRINGER HEIDELBERG,1439-0108,1614-7480,ENVIRONMENTAL SCIENCES,SCIE,"10,450",2.8,Q3,0.68,11.82%
Environmental Earth Sciences,ENVIRON EARTH SCI,SPRINGER,1866-6280,1866-6299,ENVIRONMENTAL SCIENCES,SCIE,"25,911",2.8,Q3,0.67,10.03%
Environmental Science-Atmospheres,ENVIRON SCI-ATMOS,ROYAL SOC CHEMISTRY,N/A,2634-3606,ENVIRONMENTAL SCIENCES,ESCI,540,2.8,Q3,0.65,100%
Carbon Management,CARBON MANAG,TAYLOR & FRANCIS LTD,1758-3004,1758-3012,ENVIRONMENTAL SCIENCES,SCIE,"1,828",2.8,Q3,0.55,62.61%
Arctic Science,ARCT SCI,CANADIAN SCIENCE PUBLISHING,N/A,2368-7460,ENVIRONMENTAL SCIENCES,SCIE,683,2.7,Q3,0.75,93.79%
International Journal of Mining Reclamation and Environment,INT J MIN RECLAM ENV,TAYLOR & FRANCIS LTD,1748-0930,1748-0949,ENVIRONMENTAL SCIENCES,SCIE,"1,051",2.7,Q3,0.74,10.66%
Geobiology,GEOBIOLOGY,WILEY,1472-4677,1472-4669,ENVIRONMENTAL SCIENCES,SCIE,"2,472",2.7,Q3,0.73,33.07%
BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,B ENVIRON CONTAM TOX,SPRINGER,0007-4861,1432-0800,ENVIRONMENTAL SCIENCES,SCIE,"9,731",2.7,Q3,0.59,5.01%
ENVIRONMENTAL MANAGEMENT,ENVIRON MANAGE,SPRINGER,0364-152X,1432-1009,ENVIRONMENTAL SCIENCES,SCIE,"11,722",2.7,Q3,0.55,32.60%
Journal of Arid Land,J ARID LAND,SPRINGER HEIDELBERG,1674-6767,2194-7783,ENVIRONMENTAL SCIENCES,SCIE,"2,063",2.7,Q3,0.54,5.26%
Journal of Material Cycles and Waste Management,J MATER CYCLES WASTE,SPRINGER,1438-4957,1611-8227,ENVIRONMENTAL SCIENCES,SCIE,"5,056",2.7,Q3,0.51,11.22%
Modeling Earth Systems and Environment,MODEL EARTH SYST ENV,SPRINGER HEIDELBERG,2363-6203,2363-6211,ENVIRONMENTAL SCIENCES,ESCI,"5,226",2.7,Q3,0.51,5.81%
ENVIRONMENTAL MODELING & ASSESSMENT,ENVIRON MODEL ASSESS,SPRINGER,1420-2026,1573-2967,ENVIRONMENTAL SCIENCES,SCIE,"1,598",2.7,Q3,0.5,14.93%
Environmental Research: Infrastructure and Sustainability,ENVIRON RES-INFRASTR,IOP Publishing Ltd,N/A,2634-4505,ENVIRONMENTAL SCIENCES,ESCI,268,2.7,Q3,0.46,99.31%
Greenhouse Gases-Science and Technology,GREENH GASES,"WILEY PERIODICALS, INC",2152-3878,2152-3878,ENVIRONMENTAL SCIENCES,SCIE,"1,603",2.7,Q3,0.3,16.29%
Progress in Disaster Science,PROG DISASTER SCI,ELSEVIER,2590-0617,2590-0617,ENVIRONMENTAL SCIENCES,ESCI,"1,028",2.6,Q3,1.11,93.79%
Conservation Physiology,CONSERV PHYSIOL,OXFORD UNIV PRESS,2051-1434,2051-1434,ENVIRONMENTAL SCIENCES,SCIE,"2,521",2.6,Q3,0.73,92.83%
Journal of Arid Environments,J ARID ENVIRON,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0140-1963,1095-922X,ENVIRONMENTAL SCIENCES,SCIE,"9,365",2.6,Q3,0.64,20.12%
International Journal of Environmental Research,INT J ENVIRON RES,SPRINGER INT PUBL AG,1735-6865,2008-2304,ENVIRONMENTAL SCIENCES,SCIE,"2,309",2.6,Q3,0.54,9.54%
Waste and Biomass Valorization,WASTE BIOMASS VALORI,SPRINGER,1877-2641,1877-265X,ENVIRONMENTAL SCIENCES,SCIE,"9,025",2.6,Q3,0.53,13.11%
Journal of Integrative Environmental Sciences,J INTEGR ENVIRON SCI,TAYLOR & FRANCIS LTD,1943-815X,1943-8168,ENVIRONMENTAL SCIENCES,SCIE,466,2.6,Q3,0.42,100%
Aerosol and Air Quality Research,AEROSOL AIR QUAL RES,TAIWAN ASSOC AEROSOL RES-TAAR,1680-8584,2071-1409,ENVIRONMENTAL SCIENCES,SCIE,"6,312",2.5,Q3,0.68,99.09%
AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,AQUAT CONSERV,WILEY,1052-7613,1099-0755,ENVIRONMENTAL SCIENCES,SCIE,"5,730",2.5,Q3,0.67,24.95%
VADOSE ZONE JOURNAL,VADOSE ZONE J,WILEY,N/A,1539-1663,ENVIRONMENTAL SCIENCES,SCIE,"5,312",2.5,Q3,0.6,86.14%
Mitigation and Adaptation Strategies for Global Change,MITIG ADAPT STRAT GL,SPRINGER,1381-2386,1573-1596,ENVIRONMENTAL SCIENCES,SCIE,"3,485",2.5,Q3,0.59,35.29%
Ecohydrology,ECOHYDROLOGY,WILEY,1936-0584,1936-0592,ENVIRONMENTAL SCIENCES,SCIE,"3,778",2.5,Q3,0.58,19.17%
Atmosphere,ATMOSPHERE-BASEL,MDPI,N/A,2073-4433,ENVIRONMENTAL SCIENCES,SCIE,"19,592",2.5,Q3,0.56,99.59%
JOURNAL OF WATER AND HEALTH,J WATER HEALTH,IWA PUBLISHING,1477-8920,1996-7829,ENVIRONMENTAL SCIENCES,SCIE,"2,826",2.5,Q3,0.56,100%
WATER ENVIRONMENT RESEARCH,WATER ENVIRON RES,WILEY,1061-4303,1554-7531,ENVIRONMENTAL SCIENCES,SCIE,"4,762",2.5,Q3,0.52,12.41%
Environmental Research Communications,ENVIRON RES COMMUN,IOP Publishing Ltd,2515-7620,2515-7620,ENVIRONMENTAL SCIENCES,SCIE,"1,529",2.5,Q3,0.51,98.45%
Anthropocene Review,ANTHROPOCENE REV,SAGE PUBLICATIONS INC,2053-0196,2053-020X,ENVIRONMENTAL SCIENCES,SCIE,"1,009",2.5,Q3,0.43,43.62%
WATER SCIENCE AND TECHNOLOGY,WATER SCI TECHNOL,IWA PUBLISHING,0273-1223,1996-9732,ENVIRONMENTAL SCIENCES,SCIE,"22,215",2.5,Q3,0.43,97.26%
Ecological Chemistry and Engineering S-Chemia I Inzynieria Ekologiczna S,ECOL CHEM ENG S,SCIENDO,1898-6196,2084-4549,ENVIRONMENTAL SCIENCES,SCIE,767,2.5,Q3,0.29,86.40%
JOURNAL OF GREAT LAKES RESEARCH,J GREAT LAKES RES,ELSEVIER SCI LTD,0380-1330,0380-1330,ENVIRONMENTAL SCIENCES,SCIE,"6,106",2.4,Q3,0.75,46.90%
ECOTOXICOLOGY,ECOTOXICOLOGY,SPRINGER,0963-9292,1573-3017,ENVIRONMENTAL SCIENCES,SCIE,"6,645",2.4,Q3,0.62,13.95%
Rangeland Ecology & Management,RANGELAND ECOL MANAG,ELSEVIER,1550-7424,1551-5028,ENVIRONMENTAL SCIENCES,SCIE,"3,140",2.4,Q3,0.57,47.59%
Journal of Hydro-environment Research,J HYDRO-ENVIRON RES,ELSEVIER,1570-6443,1876-4444,ENVIRONMENTAL SCIENCES,SCIE,"1,169",2.4,Q3,0.56,9.47%
JOURNAL OF HEALTH POPULATION AND NUTRITION,J HEALTH POPUL NUTR,BMC,1606-0997,2072-1315,ENVIRONMENTAL SCIENCES,SCIE,"2,471",2.4,Q3,0.55,99.60%
Frontiers in Sustainable Cities,FRONT SUSTAIN CITIES,FRONTIERS MEDIA SA,N/A,2624-9634,ENVIRONMENTAL SCIENCES,ESCI,"1,066",2.4,Q3,0.45,100%
Discover Sustainability,DISCOV SUSTAIN,SPRINGERNATURE,N/A,2662-9984,ENVIRONMENTAL SCIENCES,ESCI,300,2.4,Q3,0.31,100%
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES,J TOXICOL ENV HEAL A,TAYLOR & FRANCIS INC,1528-7394,1087-2620,ENVIRONMENTAL SCIENCES,SCIE,"3,956",2.3,Q3,0.71,5.37%
Blue-Green Systems,BLUE-GREEN SYST,IWA PUBLISHING,N/A,2617-4782,ENVIRONMENTAL SCIENCES,ESCI,269,2.3,Q3,0.7,100%
Estuaries and Coasts,ESTUAR COAST,SPRINGER,1559-2723,1559-2731,ENVIRONMENTAL SCIENCES,SCIE,"5,876",2.3,Q3,0.68,31.42%
SAR AND QSAR IN ENVIRONMENTAL RESEARCH,SAR QSAR ENVIRON RES,TAYLOR & FRANCIS LTD,1062-936X,1029-046X,ENVIRONMENTAL SCIENCES,SCIE,"1,410",2.3,Q3,0.66,4.83%
Water Resources and Economics,WATER RESOUR ECON,ELSEVIER,2212-4284,2212-4284,ENVIRONMENTAL SCIENCES,SCIE,405,2.3,Q3,0.62,30%
INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY,INT J ENVIRON AN CH,TAYLOR & FRANCIS LTD,0306-7319,1029-0397,ENVIRONMENTAL SCIENCES,SCIE,"6,863",2.3,Q3,0.53,0.67%
WEB ECOLOGY,WEB ECOL,COPERNICUS GESELLSCHAFT MBH,2193-3081,1399-1183,ENVIRONMENTAL SCIENCES,SCIE,235,2.3,Q3,0.52,100%
ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,ENVIRON MOL MUTAGEN,WILEY,0893-6692,1098-2280,ENVIRONMENTAL SCIENCES,SCIE,"3,071",2.3,Q3,0.51,25.86%
Agricultural & Environmental Letters,AGR ENV LETT,WILEY,N/A,2471-9625,ENVIRONMENTAL SCIENCES,SCIE,476,2.3,Q3,0.5,94.83%
Journal of Mountain Science,J MT SCI-ENGL,SCIENCE PRESS,1672-6316,1993-0321,ENVIRONMENTAL SCIENCES,SCIE,"5,097",2.3,Q3,0.43,6.66%
Sustainable Environment,SUSTAIN ENVIRON,TAYLOR & FRANCIS LTD,2765-8511,2765-8511,ENVIRONMENTAL SCIENCES,ESCI,150,2.3,Q3,0.33,97.73%
JOURNAL OF AGRICULTURAL & ENVIRONMENTAL ETHICS,J AGR ENVIRON ETHIC,SPRINGER,1187-7863,1573-322X,ENVIRONMENTAL SCIENCES,SCIE,"1,705",2.2,Q3,0.88,64.86%
JOURNAL OF HYDROINFORMATICS,J HYDROINFORM,IWA PUBLISHING,1464-7141,1465-1734,ENVIRONMENTAL SCIENCES,SCIE,"2,469",2.2,Q3,0.59,96.54%
EcoHealth,ECOHEALTH,SPRINGER,1612-9202,1612-9210,ENVIRONMENTAL SCIENCES,SCIE,"2,565",2.2,Q3,0.56,29.60%
INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH,INT J ENVIRON HEAL R,TAYLOR & FRANCIS LTD,0960-3123,1369-1619,ENVIRONMENTAL SCIENCES,SCIE,"2,787",2.2,Q3,0.55,9.24%
ENVIRONMENTAL CONSERVATION,ENVIRON CONSERV,CAMBRIDGE UNIV PRESS,0376-8929,1469-4387,ENVIRONMENTAL SCIENCES,SCIE,"3,815",2.2,Q3,0.49,41.51%
JOURNAL OF HYDROLOGIC ENGINEERING,J HYDROL ENG,ASCE-AMER SOC CIVIL ENGINEERS,1084-0699,1943-5584,ENVIRONMENTAL SCIENCES,SCIE,"5,345",2.2,Q3,0.48,3.50%
ENVIRONMENTAL TECHNOLOGY,ENVIRON TECHNOL,TAYLOR & FRANCIS LTD,0959-3330,1479-487X,ENVIRONMENTAL SCIENCES,SCIE,"11,034",2.2,Q3,0.46,2.95%
AEROBIOLOGIA,AEROBIOLOGIA,SPRINGER,0393-5965,1573-3025,ENVIRONMENTAL SCIENCES,SCIE,"1,733",2.2,Q3,0.44,31.15%
GEOMICROBIOLOGY JOURNAL,GEOMICROBIOL J,TAYLOR & FRANCIS INC,0149-0451,1521-0529,ENVIRONMENTAL SCIENCES,SCIE,"3,427",2.2,Q3,0.43,2.19%
JOURNAL OF ENVIRONMENTAL QUALITY,J ENVIRON QUAL,WILEY,0047-2425,1537-2537,ENVIRONMENTAL SCIENCES,SCIE,"13,222",2.2,Q3,0.43,48.47%
Journal of the Indian Society of Remote Sensing,J INDIAN SOC REMOTE,SPRINGER,0255-660X,0974-3006,ENVIRONMENTAL SCIENCES,SCIE,"3,221",2.2,Q3,0.42,2.74%
Urban Science,URBAN SCI,MDPI,N/A,2413-8851,ENVIRONMENTAL SCIENCES,ESCI,"1,380",2.1,Q3,0.59,98.70%
Journal of Sustainable Development of Energy Water and Environment Systems-JSDEWES,J SUSTAIN DEV ENERGY,INT CENTRE SUSTAINABLE DEV ENERGY WATER & ENV SYSTEMS-SDEWES,1848-9257,1848-9257,ENVIRONMENTAL SCIENCES,ESCI,711,2.1,Q3,0.49,92.52%
EARTH,EARTH-BASEL,MDPI,N/A,2673-4834,ENVIRONMENTAL SCIENCES,ESCI,334,2.1,Q3,0.42,100%
Process Integration and Optimization for Sustainability,PROC INTEGR OPTIM,SPRINGERNATURE,2509-4238,2509-4246,ENVIRONMENTAL SCIENCES,ESCI,556,2.1,Q3,0.37,9.40%
Environmental Progress & Sustainable Energy,ENVIRON PROG SUSTAIN,WILEY,1944-7442,1944-7450,ENVIRONMENTAL SCIENCES,SCIE,"5,023",2.1,Q3,0.36,2.11%
JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION,J AIR WASTE MANAGE,TAYLOR & FRANCIS INC,1096-2247,2162-2906,ENVIRONMENTAL SCIENCES,SCIE,"6,285",2.1,Q3,0.36,17.73%
OZONE-SCIENCE & ENGINEERING,OZONE-SCI ENG,TAYLOR & FRANCIS INC,0191-9512,1547-6545,ENVIRONMENTAL SCIENCES,SCIE,"2,177",2.1,Q3,0.32,6.98%
AQUATIC SCIENCES,AQUAT SCI,SPRINGER BASEL AG,1015-1621,1420-9055,ENVIRONMENTAL SCIENCES,SCIE,"3,213",2,Q3,0.65,25.61%
Environmental Chemistry,ENVIRON CHEM,CSIRO PUBLISHING,1448-2517,1449-8979,ENVIRONMENTAL SCIENCES,SCIE,"2,502",2,Q3,0.39,23.53%
Frontiers in Conservation Science,FRONT CONSERV SCI,FRONTIERS MEDIA SA,N/A,2673-611X,ENVIRONMENTAL SCIENCES,ESCI,521,1.9,Q3,0.4,99.72%
JOURNAL OF ENVIRONMENTAL RADIOACTIVITY,J ENVIRON RADIOACTIV,ELSEVIER SCI LTD,0265-931X,1879-1700,ENVIRONMENTAL SCIENCES,SCIE,"8,130",1.9,Q3,0.38,30.10%
Journal of Environmental Studies and Sciences,J ENVIRON STUD SCI,SPRINGER,2190-6483,2190-6491,ENVIRONMENTAL SCIENCES,ESCI,"1,057",1.9,Q3,0.38,27.22%
ARID LAND RESEARCH AND MANAGEMENT,ARID LAND RES MANAG,TAYLOR & FRANCIS INC,1532-4982,1532-4990,ENVIRONMENTAL SCIENCES,SCIE,837,1.9,Q3,0.36,1.16%
SOIL SCIENCE AND PLANT NUTRITION,SOIL SCI PLANT NUTR,TAYLOR & FRANCIS LTD,0038-0768,1747-0765,ENVIRONMENTAL SCIENCES,SCIE,"4,223",1.9,Q3,0.36,5.59%
Water Supply,WATER SUPPLY,IWA PUBLISHING,1606-9749,1607-0798,ENVIRONMENTAL SCIENCES,SCIE,"3,125",1.9,Q3,0.33,97.24%
JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,J ENVIRON SCI HEAL A,TAYLOR & FRANCIS INC,1093-4529,1532-4117,ENVIRONMENTAL SCIENCES,SCIE,"5,362",1.9,Q3,0.3,1.96%
BIOREMEDIATION JOURNAL,BIOREMEDIAT J,TAYLOR & FRANCIS INC,1088-9868,1547-6529,ENVIRONMENTAL SCIENCES,SCIE,745,1.9,Q3,0.26,1.77%
INDUSTRIAL HEALTH,IND HEALTH,"NATL INST OCCUPATIONAL SAFETY & HEALTH, JAPAN",0019-8366,1880-8026,ENVIRONMENTAL SCIENCES,SCIE,"2,271",1.8,Q3,0.45,100%
WETLANDS,WETLANDS,SPRINGER,0277-5212,1943-6246,ENVIRONMENTAL SCIENCES,SCIE,"5,033",1.8,Q3,0.42,16.86%
NATURAL RESOURCE MODELING,NAT RESOUR MODEL,WILEY,0890-8575,1939-7445,ENVIRONMENTAL SCIENCES,SCIE,634,1.8,Q3,0.41,81.58%
ANTARCTIC SCIENCE,ANTARCT SCI,CAMBRIDGE UNIV PRESS,0954-1020,1365-2079,ENVIRONMENTAL SCIENCES,SCIE,"2,162",1.8,Q3,0.4,42.02%
One Ecosystem,ONE ECOSYSTEM,PENSOFT PUBLISHERS,N/A,2367-8194,ENVIRONMENTAL SCIENCES,ESCI,275,1.8,Q3,0.4,95.65%
Euro-Mediterranean Journal for Environmental Integration,EURO-MEDITERR J ENVI,SPRINGER HEIDELBERG,2365-6433,2365-7448,ENVIRONMENTAL SCIENCES,ESCI,679,1.8,Q3,0.32,15.21%
ENVIRONMENTAL ENGINEERING SCIENCE,ENVIRON ENG SCI,"MARY ANN LIEBERT, INC",1092-8758,1557-9018,ENVIRONMENTAL SCIENCES,SCIE,"2,959",1.8,Q3,0.25,6.17%
ENVIRONMENTAL FLUID MECHANICS,ENVIRON FLUID MECH,SPRINGER,1567-7419,1573-1510,ENVIRONMENTAL SCIENCES,SCIE,"1,743",1.7,Q4,0.51,28.74%
